Tree,2002Rating,2002DBH,2003Rating,2003DBH ,2004Rating,2004DBH,2005Rating,2005DBH,2007Rating,2007DBH,2008Rating,2008DBH,2009Rating,2009DBH,2010Rating,2010DBH,2011Rating,2011DBH,2013Rating,2013DBH,2014Rating,2014DBH
98,3,13.2,3,14.2,4,14.6,3,15.5,3,16.6,3,16.7,3,17.1,3,17.2,3,17.6,3,18,3,18
160,2,1.2,2,0.6,1,0.3,1,0.7,0,,1,-1.0,,,,,,,,,,
187,3,35.6,3,35.6,3,36.4,2,35.8,3,36.3,3,36.0,3,36.5,3,36.7,3,36.8,4,36.7,4,36.6
281,,,,,3,8.4,3,2.1,3,2.4,3,2.5,3,2.6,3,2.7,3,2.8,2,-1,2,1
328,3,7.6,3,8.7,2,9.7,3,10.0,3,11.8,3,11.0,3,11.0,3,11.1,3,10.5,1,2,2,2.1
330,3,8.4,3,6.6,2,8.9,3,8.9,3,9.1,2,2.0,2,0.4,3,1.6,2,0.2,1,-1,1,-1
4018,3,3.3,3,2.6,3,3.3,3,2.0,2,2.6,2,3.9,3,3.0,3,3.1,3,3.4,3,3.6,3,3.4
4055.3,,,3,4.0,4,3.9,4,4.6,3,6.8,3,7.2,3,7.8,3,8.1,3,8,2,8.8,2,8.3
4056.3,5,2.5,5,2.9,2,4.1,2,3.1,2,0.6,2,0.9,2,1.0,2,0.5,3,1,2,-1,2,0.2
4123,5,2.8,5,2.9,5,3.0,2,-1.0,2,-1.0,1,-1.0,2,,3,-1.0,2,,2,-1,2,-1
5026,5,0.4,5,0.4,5,0.3,5,0.8,3,2.0,2,1.0,3,1.0,3,1.2,3,2.2,2,1,2,-1
5027,5,0.9,5,0.9,5,0.3,5,1.1,1,1.4,1,1.1,2,1.5,2,0.4,2,0.8,2,0.8,2,0.7
5028,2,0.4,2,0.5,,,2,0.9,2,1.1,1,1.5,2,1.6,1,1.7,2,2,2,98,1,-1
5029,5,0.3,5,0.4,,,5,0.6,2,0.7,2,0.7,2,0.7,2,-1.0,2,,1,-1,2,-1
5060,5,0.6,5,0.7,2,,2,-1.0,1,0.9,1,0.8,2,1.0,3,1.1,2,1.2,0,,0,
5108,,,5,0.2,,,5,0.6,2,0.8,2,0.3,2,0.4,3,-1.0,2,0.2,1,-1,,
5109,,,5,0.2,,,5,0.9,2,0.3,2,0.2,2,0.3,1,-1.0,2,,,,,
7A,3,15.0,3,15.7,,,3,16.5,3,17.2,3,17.5,3,17.7,3,21.3,3,20,3,19.7,3,19.7
7B,3,8.6,3,9.6,,,2,2.0,2,2.9,3,3.0,2,3.0,3,0.5,3,0.9,2,-1,2,-1
22,3,32.5,3,32.5,3,32.7,3,32.2,3,32.9,3,32.7,2,2.1,3,2.1,3,2.4,1,1.4,2,-1
24,3,26.9,3,27.6,3,27.4,2,0.4,3,26.7,3,26.4,1,,4,27.4,3,26.5,0,,0,
26,3,35.8,3,35.6,3,35.9,3,35.9,3,42.0,3,34.2,3,2.6,3,2.7,3,3,2,1,1,-1
27,3,29.8,3,57.8,3,30.0,3,30.0,3,30.0,3,30.5,3,30.9,4,30.6,3,31.7,3,32,3,31.7
40,3,55.4,3,54.8,3,57.1,3,56.9,3,57.6,3,57.6,3,57.9,3,56.6,3,56.9,3,56.9,4,57.6
46,2,2.3,3,2.7,4,3.1,3,3.3,2,3.5,3,3.5,2,1.8,2,1.9,2,1.3,2,-1,0,
56,3,29.1,3,29.4,,,,,3,30.6,3,30.0,3,29.6,3,31,2,49.7,,,,
189,2,1.8,2,2.3,2,3.2,3,2.8,2,0.3,2,0.5,2,0.6,2,0.6,2,-1,1,-1,2,0.2
192,3,36.6,3,36.6,3,36.7,2,36.7,3,37.8,3,37.0,3,37.6,3,37.2,2,38.1,3,-1,3,37
305,2,40.1,3,40.8,3,41.2,3,41.9,3,41.0,3,41.2,3,42.2,3,40.9,2,41.4,3,40.8,3,41
307,3,30.2,3,30.4,,,2,1.7,2,0.5,1,0.2,2,0.6,,,1,,0,,0,
308,,,,,,,3,21.4,3,22.8,3,22.0,3,22.6,3,23.3,3,22.8,3,23.3,3,22.9
530,3,9.4,3,10.0,3,10.1,3,10.4,3,11.5,3,11.5,3,11.6,4,11.8,3,11.9,2,0.9,2,0.2
885,2,20.3,3,20.7,2,20.7,3,20.9,3,20.7,3,21.8,3,21.0,3,26,3,2.7,2,1,2,1.2
5030,3,1.5,2,2.1,,,3,2.4,3,2.7,2,2.8,3,3.0,3,3.1,3,3.1,2,-1,2,0.2
161,2,0.8,2,0.9,2,0.3,2,0.4,2,0.4,2,0.5,2,0.4,2,0.6,2,0.5,1,-1,1,-1
359,3,15.0,2,3.1,2,2.0,2,1.0,3,2.4,1,2.7,2,3.2,2,0.9,2,3.2,2,2,2,2
360,3,62.2,3,63.8,2,64.1,2,63.5,3,2.4,2,2.0,2,2.0,3,2.2,3,2.5,2,0.2,0,
361,2,71.1,3,73.1,3,75.0,3,73.0,3,8.6,4,9.0,3,8.9,3,2.8,2,3.3,2,2.1,2,3.1
363,3,20.1,3,19.8,2,2.0,2,1.7,3,1.7,1,2.0,1,0.4,2,0.6,1,0.6,2,1,2,-1
364,2,41.7,2,42.6,2,42.7,3,42.5,3,34.1,3,43.0,3,43.2,3,2.8,2,3,,,2,1.5
365,3,12.4,3,12.6,2,1.0,2,0.8,2,1.0,2,1.0,1,0.3,2,0.5,2,0.5,2,0.2,2,0.2
684,5,22.4,5,23.5,2,23.8,3,24.1,3,25.0,3,24.9,3,25.1,3,26,3,24.8,2,2.3,2,2.3
685,2,18.8,5,19.1,3,19.6,3,19.9,3,20.4,3,19.8,3,20.5,3,22.5,3,20.5,2,3.5,3,3.7
686,5,7.4,5,7.7,5,8.0,3,8.0,3,8.8,3,9.2,3,9.1,3,9.5,3,9.8,2,1.2,2,1.2
