Plot,Tree,2002Rating,2002DBH,2003Rating,2003DBH ,2004Rating,2004DBH,2005Rating,2005DBH,2007Rating,2007DBH,2008Rating,2008DBH,2009Rating,2009DBH,2010Rating,2010DBH,2011Rating,2011DBH,2013Rating,2013DBH,2014Rating,2014DBH
2,194,3,11.7,2,0.9,1,1,2,1.1,2,2.1,3,2.2,3,2.4,3,0.7,2,0.7,2,1,2,0.2
2,195,3,8.1,3,8.1,1,2.1,2,8.4,3,8.6,3,8.9,3,9.1,3,9.5,3,8.9,2,8,2,1.5
2,282,,,,,2,34,2,23.7,3,34.8,3,35,3,34.3,3,34.4,2,34.4,1,32.8,3,1.6
2,293,,,2,1.9,2,2.1,2,-1,2,1.2,2,0.2,2,,2,-1,2,,,,,
2,321,2,11.4,3,3.2,1,0.3,2,0.9,2,1.6,3,2.2,3,3.1,3,3.3,3,3.4,1,0.2,2,0.7
2,326,3,15,3,16.2,1,2,2,2.2,3,4,4,4.5,4,5.7,3,5.2,3,90,3,9.2,3,6.5
2,830,3,29.7,3,30.1,2,30.3,3,30.1,3,29.9,3,30.8,3,32,3,32.2,2,33.3,3,29.7,,
2,831,3,29.7,2,30.5,2,31,2,30.9,3,32.2,3,31,3,31,3,31.3,3,31.4,3,31.5,3,31.4
2,832,5,6.9,5,7.5,2,8.3,3,7.8,2,8.9,2,9.2,3,9.8,3,10.6,3,11.8,3,12.9,3,13.5
2,833,5,10.7,2,10.9,1,4.6,1,0.6,2,1.2,2,1.5,2,1.7,3,1.9,3,1.9,3,2,2,0.8
2,837,2,2,2,1.1,2,1.1,2,-1,2,1.2,2,2.2,2,2.6,2,0.2,2,0.2,,,,
2,839,2,5.1,2,7.4,3,7.5,2,-1,3,9.4,3,9.8,3,10.5,3,11.9,3,11.9,3,12.2,3,12.7
2,4015,2,0.7,2,1,1,1,2,1.8,2,1.6,1,1.1,1,1.5,2,1.7,2,2.3,2,-1,2,-1
2,4058.2,5,4.6,5,4.9,5,5,2,5.3,2,5.5,3,6,2,6,2,-1,,,0,,,
2,4059.2,5,8.6,2,8.8,2,3.4,2,8.9,2,8.8,2,0.7,2,,2,-1,2,,0,,,
2,4060.2,2,2.8,2,3.1,5,3,4,3.4,2,-1,1,0.4,2,0.6,3,0.6,1,0.5,2,-1,2,89
2,5058,5,1.1,2,1.2,5,1.6,5,1.5,2,2,2,2.8,2,2.3,2,,3,0.3,,,0,
2,5062,5,1.3,5,1.7,5,2,5,2.3,2,3,2,3,2,0.8,2,0.7,2,0.2,2,0.2,2,0.1
2,114A,,,,,,,,,,,3,2.5,3,2.7,3,4.2,,,2,2,,
3,6,3,46.5,3,47,3,47,2,47,3,48.4,3,47.5,3,48.7,3,47.9,3,49.2,3,49.2,3,49.1
3,8,,,,,3,20.9,4,20.6,3,20.7,3,20.7,3,20.2,3,1.1,2,1.4,2,1.4,2,0.7
3,9,3,25.9,3,26.8,3,26.8,4,26.8,3,27.1,3,27.1,3,27.9,3,27.5,3,29.4,3,46.9,3,27.3
3,12,3,33.8,3,35.6,3,35.6,4,37.5,3,35.9,3,35.5,3,35.4,3,35.9,3,36.8,4,36.8,3,36.9
3,13,3,36.1,3,37.5,3,37.1,2,35.4,3,38.7,3,38.8,3,38.5,3,38,4,39.1,4,39.1,4,39.2
3,14,2,0.8,2,1.5,2,0.3,2,2,2,2.3,2,2.3,2,2.3,2,2.8,2,0.2,2,0.2,2,0.6
3,15,3,38.1,3,39.1,3,39.8,3,39.6,3,40.6,3,40.8,3,41,3,41.5,3,41.7,4,42.5,4,42.6
3,17,3,36.6,3,37.2,4,38.5,4,38.5,3,39.8,2,39.3,3,40.1,3,40.2,3,41.9,3,41.6,4,41.2
3,45,,,,,,,1,-1,1,-1,1,-1,1,,1,-1,1,-1,0,,1,-1
3,51,1,23.1,2,2.4,2,2.5,1,1.3,2,2.7,3,2,3,2.1,3,1.9,3,2,1,-1,2,-1
3,74,2,2.5,2,2.4,1,0.3,2,1.1,2,1.4,2,1.7,2,1.9,3,1.9,2,1.9,2,2.2,2,2
3,75,3,38.9,3,39.5,3,39.7,3,39.9,3,40.9,3,40.7,3,41,3,41.2,3,41.5,4,42.3,4,42.3
3,97,3,24.9,3,25,4,24.8,2,25,3,25.9,3,25,3,25,3,24.6,3,24.7,3,2.6,2,2.6
3,98,3,13.2,3,14.2,4,14.6,3,15.5,3,16.6,3,16.7,3,17.1,3,17.2,3,17.6,3,18,3,18
3,160,2,1.2,2,0.6,1,0.3,1,0.7,0,,1,-1,,,,,,,,,,
3,187,3,35.6,3,35.6,3,36.4,2,35.8,3,36.3,3,36,3,36.5,3,36.7,3,36.8,4,36.7,4,36.6
3,281,,,,,3,8.4,3,2.1,3,2.4,3,2.5,3,2.6,3,2.7,3,2.8,2,-1,2,1
3,328,3,7.6,3,8.7,2,9.7,3,10,3,11.8,3,11,3,11,3,11.1,3,10.5,1,2,2,2.1
3,330,3,8.4,3,6.6,2,8.9,3,8.9,3,9.1,2,2,2,0.4,3,1.6,2,0.2,1,-1,1,-1
3,4018,3,3.3,3,2.6,3,3.3,3,2,2,2.6,2,3.9,3,3,3,3.1,3,3.4,3,3.6,3,3.4
3,4055.3,,,3,4,4,3.9,4,4.6,3,6.8,3,7.2,3,7.8,3,8.1,3,8,2,8.8,2,8.3
3,4056.3,5,2.5,5,2.9,2,4.1,2,3.1,2,0.6,2,0.9,2,1,2,0.5,3,1,2,-1,2,0.2
3,4123,5,2.8,5,2.9,5,3,2,-1,2,-1,1,-1,2,,3,-1,2,,2,-1,2,-1
3,5026,5,0.4,5,0.4,5,0.3,5,0.8,3,2,2,1,3,1,3,1.2,3,2.2,2,1,2,-1
3,5027,5,0.9,5,0.9,5,0.3,5,1.1,1,1.4,1,1.1,2,1.5,2,0.4,2,0.8,2,0.8,2,0.7
3,5028,2,0.4,2,0.5,,,2,0.9,2,1.1,1,1.5,2,1.6,1,1.7,2,2,2,98,1,-1
3,5029,5,0.3,5,0.4,,,5,0.6,2,0.7,2,0.7,2,0.7,2,-1,2,,1,-1,2,-1
3,5060,5,0.6,5,0.7,2,,2,-1,1,0.9,1,0.8,2,1,3,1.1,2,1.2,0,,0,
3,5108,,,5,0.2,,,5,0.6,2,0.8,2,0.3,2,0.4,3,-1,2,0.2,1,-1,,
3,5109,,,5,0.2,,,5,0.9,2,0.3,2,0.2,2,0.3,1,-1,2,,,,,
3,7A,3,15,3,15.7,,,3,16.5,3,17.2,3,17.5,3,17.7,3,21.3,3,20,3,19.7,3,19.7
3,7B,3,8.6,3,9.6,,,2,2,2,2.9,3,3,2,3,3,0.5,3,0.9,2,-1,2,-1
4,22,3,32.5,3,32.5,3,32.7,3,32.2,3,32.9,3,32.7,2,2.1,3,2.1,3,2.4,1,1.4,2,-1
4,24,3,26.9,3,27.6,3,27.4,2,0.4,3,26.7,3,26.4,1,,4,27.4,3,26.5,0,,0,
4,26,3,35.8,3,35.6,3,35.9,3,35.9,3,42,3,34.2,3,2.6,3,2.7,3,3,2,1,1,-1
4,27,3,29.8,3,57.8,3,30,3,30,3,30,3,30.5,3,30.9,4,30.6,3,31.7,3,32,3,31.7
4,40,3,55.4,3,54.8,3,57.1,3,56.9,3,57.6,3,57.6,3,57.9,3,56.6,3,56.9,3,56.9,4,57.6
4,46,2,2.3,3,2.7,4,3.1,3,3.3,2,3.5,3,3.5,2,1.8,2,1.9,2,1.3,2,-1,0,
4,56,3,29.1,3,29.4,,,,,3,30.6,3,30,3,29.6,3,31,2,49.7,,,,
4,189,2,1.8,2,2.3,2,3.2,3,2.8,2,0.3,2,0.5,2,0.6,2,0.6,2,-1,1,-1,2,0.2
4,192,3,36.6,3,36.6,3,36.7,2,36.7,3,37.8,3,37,3,37.6,3,37.2,2,38.1,3,-1,3,37
4,305,2,40.1,3,40.8,3,41.2,3,41.9,3,41,3,41.2,3,42.2,3,40.9,2,41.4,3,40.8,3,41
4,307,3,30.2,3,30.4,,,2,1.7,2,0.5,1,0.2,2,0.6,,,1,,0,,0,
4,308,,,,,,,3,21.4,3,22.8,3,22,3,22.6,3,23.3,3,22.8,3,23.3,3,22.9
4,530,3,9.4,3,10,3,10.1,3,10.4,3,11.5,3,11.5,3,11.6,4,11.8,3,11.9,2,0.9,2,0.2
4,885,2,20.3,3,20.7,2,20.7,3,20.9,3,20.7,3,21.8,3,21,3,26,3,2.7,2,1,2,1.2
4,5030,3,1.5,2,2.1,,,3,2.4,3,2.7,2,2.8,3,3,3,3.1,3,3.1,2,-1,2,0.2
5,161,2,0.8,2,0.9,2,0.3,2,0.4,2,0.4,2,0.5,2,0.4,2,0.6,2,0.5,1,-1,1,-1
5,359,3,15,2,3.1,2,2,2,1,3,2.4,1,2.7,2,3.2,2,0.9,2,3.2,2,2,2,2
5,360,3,62.2,3,63.8,2,64.1,2,63.5,3,2.4,2,2,2,2,3,2.2,3,2.5,2,0.2,0,
5,361,2,71.1,3,73.1,3,75,3,73,3,8.6,4,9,3,8.9,3,2.8,2,3.3,2,2.1,2,3.1
5,363,3,20.1,3,19.8,2,2,2,1.7,3,1.7,1,2,1,0.4,2,0.6,1,0.6,2,1,2,-1
5,364,2,41.7,2,42.6,2,42.7,3,42.5,3,34.1,3,43,3,43.2,3,2.8,2,3,,,2,1.5
5,365,3,12.4,3,12.6,2,1,2,0.8,2,1,2,1,1,0.3,2,0.5,2,0.5,2,0.2,2,0.2
5,684,5,22.4,5,23.5,2,23.8,3,24.1,3,25,3,24.9,3,25.1,3,26,3,24.8,2,2.3,2,2.3
5,685,2,18.8,5,19.1,3,19.6,3,19.9,3,20.4,3,19.8,3,20.5,3,22.5,3,20.5,2,3.5,3,3.7
5,686,5,7.4,5,7.7,5,8,3,8,3,8.8,3,9.2,3,9.1,3,9.5,3,9.8,2,1.2,2,1.2
5,687,2,23.4,3,25.1,3,25.7,3,25.9,3,26.8,3,27.2,3,27.5,3,27.7,3,28.5,3,29.1,1,-1
5,689,5,7.1,4,7.7,2,0.2,2,-1,2,0.9,1,1.1,2,1.2,2,,2,0.6,2,1.3,1,-1
5,690,2,11.4,2,11.7,2,3,2,3.1,2,1.2,2,0.6,2,1.6,2,2.2,2,1.9,2,3.5,2,0.5
5,691,2,14.5,2,14.9,2,15,1,-1,2,2,2,1.8,3,2,3,3.1,2,3.3,2,1.5,2,1.9
5,692,5,18.8,2,19.3,3,19.5,3,19.9,3,19.7,2,2.6,2,3.1,2,4.4,3,5.1,2,1.8,2,2.5
5,693,5,6.9,5,7.4,,,0,-1,1,-1,1,-1,1,0.3,3,1.7,2,0.9,2,-1,1,-1
5,694,5,7.4,2,7.7,2,7.5,2,7.7,3,8,4,8.1,3,8.2,3,8.3,3,8.4,2,1.9,3,7.3
5,695,2,22.6,2,24.1,3,24.5,4,25.3,3,29.5,3,28.2,3,28.8,3,28.8,3,28.7,3,28.6,3,28.6
5,696,5,11.2,5,11.4,5,12.5,3,11.8,3,12.7,3,13.1,3,13.3,3,14,3,12.9,2,3,2,2.8
5,703,2,10.4,3,11.7,4,10.9,3,11,3,11.5,3,11.5,3,11.5,3,2.8,3,3.5,2,2,2,2.1
5,704,5,5.1,5,5.2,2,5.4,3,5.5,4,5.9,3,6.5,3,7,3,6.8,3,3.2,2,1.8,2,2.8
5,705,5,6.4,5,6.8,5,7,5,7.1,2,7.5,2,1.4,2,2,2,2.6,2,3.2,2,3.6,2,4
5,706,5,11.7,2,12.2,2,12.3,3,12.1,3,12.4,3,13.5,3,12.1,3,12.3,3,2.5,2,0.6,2,1.8
5,707,5,9.1,5,9.6,5,9.9,3,10,3,10.2,3,10.2,2,1.5,2,1.6,3,0.4,2,0.1,1,0.5
5,942,5,10.7,5,11.3,2,11.6,2,1.7,2,1.5,2,1.5,2,2.2,2,3,3,3.3,2,1.5,3,2
5,943,5,8.1,5,8.6,2,8.3,3,9.1,3,9.8,3,9.9,3,9.8,2,1.4,3,9.2,2,0.5,2,0.5
5,944,2,7.6,3,7.9,2,1.8,2,2.4,2,1,2,1.1,2,1.2,2,0.8,2,0.5,1,-1,1,-1
5,945,2,14.2,3,14.3,1,-1,2,12.8,4,2.5,3,3,2,3.3,2,1.6,3,3.5,1,1.1,1,1.3
5,946,5,7.6,5,8.3,2,9.1,2,-1,2,1,2,1.2,2,1.6,2,0.5,2,1.1,3,0.6,2,0.8
5,947,4,9.9,2,10.5,2,-1,2,-1,2,0.4,2,0.4,2,0.8,2,1.1,2,1.6,2,-1,1,-1
5,948,2,6.4,2,7,2,7.4,3,7.5,2,1.1,2,1.6,2,0.3,2,0.9,2,1.6,3,0.4,1,-1
5,949,3,8.6,3,8.7,2,8.8,2,0.4,2,2.2,3,2.3,2,1.5,2,1.9,2,2.4,2,3.3,2,3.3
5,950,5,6.9,5,7.5,2,7.9,3,8.2,3,10.1,3,10.9,3,9.3,3,10.3,2,4.1,2,2.2,2,3.1
5,4009,5,4.3,5,4.7,5,4.9,5,5.1,2,1.6,2,2.1,2,2.7,2,3.1,2,3.4,1,2.6,1,2.5
5,4010,5,4.3,2,4.5,3,5,3,4.8,3,5.6,4,5.8,3,5.8,3,4,3,4.5,2,0.8,2,0.7
